PDF,Type,Title,Authors,Mentor TA,Award
Anna Wu Ethan Jun-shen Ho submission_416287520/cs224r_paper__1_.pdf,Custom,Augmenting Cybersecurity Capabilities with Adversarial RL and Autoregressive Action Parameterization in Small LLMs,"Anna Wu, Ethan Jun-shen Ho",Ethan Hsu,
Anton Thieme submission_416027663/cs224r_project_final_report.pdf,Custom,Calibrated Reinforcement Learning for LLM-Guided Perturbation Screen Design,Anton Thieme,Megha Srivastava,
Anuj Jamwal Srinidhi Bhat submission_416284828/CS224r_Final_Report.pdf,Default,Structured Q&A Reasoning for Language Models,"Anuj Jamwal, Srinidhi Bhat",Ke Wang,
Anya Han Zhang submission_416411079/final_project_report.pdf,Custom,Adaptive Multi-Turn Red-Teaming for Mental Health Adjacent Language Model Safety,Anya Han Zhang,Anushree Aggarwal,
Arda Dastan Kevin Chen Elijah Alexander Schacter submission_416266246/CS224R_writeup.pdf,Custom,Preclinical HIV Drug Candidate Discovery with Reinforcement Learning,"Arda Dastan, Kevin Chen, Elijah Alexander Schacter",Jonathan Yang,
Armaan Alan Abraham submission_416253123/cs224r_final_report_2026.pdf,Custom,Reducing Scalar Rewards to Binary Success: General Off-Policy Learning with Success Functions,Armaan Alan Abraham,Jonathan Yang,
Artur Barbosa Carneiro submission_416073818/CS_224R_Final_Report.pdf,Custom,Do Persona Vectors Track Sycophancy Under RL Fine-Tuning?,Artur Barbosa Carneiro,Abhijnya Bhat,
Ashwin Mahendran Anjali Sreenivas Arianna Liang Cao submission_416286063/CS_224R_Project_Final_Report.pdf,Custom,Failing to Grasp the Point: Hierarchical Reinforcement Learning for Grasping Tasks,"Ashwin Mahendran, Anjali Sreenivas, Arianna Liang Cao",Tian Gao,
Asmani Yamin Megan Santhumayor Katie Liu submission_416286923/cs224r_final_report__Copy_.pdf,Custom,Fragment Assembly as Goal-Reaching: An RL Approach to Targeted Molecular Design,"Asmani Yamin, Megan Santhumayor, Katie Liu",Perry Dong,
Ava Kouhana Julian Rodriguez Cardenas Leah Balakrishnan submission_416238953/CS224R_-_Final_Project_Report.pdf,Default,Test-Time Inference Scaling for RL Fine-Tuned Language Models,"Ava Kouhana, Julian Rodriguez Cardenas, Leah Balakrishnan",Anubha Mahajan,
Avi Singh Mahdi Al-Husseini submission_416283010/merged_ea_paper_cs224rl.pdf,Custom,A Semi-Decentralized Approach to Scalable Multiagent Control,"Avi Singh, Mahdi Al-Husseini",Rahul Chand,Outstanding
Ayeeshi Lakshmi Poosarla Ryan Arya Nayebi submission_416149282/CS224R_Final_Report.pdf,Custom,REFINE: Reinforcement-based EHR Feature Induction and Editing,"Ayeeshi Lakshmi Poosarla, Ryan Arya Nayebi",Anushree Aggarwal,Honorable
Bautista Guerra Andrew Yuxuan Liang Alexander Tarvo submission_416268133/CS224R_Project_Final_Report.pdf,Custom,Residual Reinforcement Learning for Robotic Manipulation of Wire-like Objects,"Bautista Guerra, Andrew Yuxuan Liang, Alexander Tarvo",Joonwon Kang,
Brion Qi Ye submission_416285160/cs224r_report.pdf,Custom,Foveated Vision via Prediction Error–Augmented Reinforcement Learning,Brion Qi Ye,Joonwon Kang,
Brydie Sigg Naomi Y Boneh Christelle Chantal Millos-Lopez submission_416287519/CS224R_Final_Report.pdf,Custom,The Long Game: A Long-Horizon RL Study of Fairness in Financial Lending,"Brydie Sigg, Naomi Y Boneh, Christelle Chantal Millos-Lopez",Riya Karumanchi,
Catherine M Zhang Nora Menon submission_416286073/cs_224r_final_report__1_.pdf,Default,Curriculum Sampling for RLOO Fine-Tuning on Countdown,"Catherine M Zhang, Nora Menon",Anubha Mahajan,
Cayden Gu Karen Vo Christine Zhang submission_416276229/CS224R_Project__3_.pdf,Custom,SimToolReal-RGB: Visuomotor Diffusion Policies for Dexterous Manipulation,"Cayden Gu, Karen Vo, Christine Zhang",Tyler Lum,
Chandon Robert Hamel submission_416154851/cs224r_final_report_2026.pdf,Custom,FlowMPC: Improving Flow Matching policies with World Models,Chandon Robert Hamel,Joonwon Kang,
Chenyue Li submission_416194974/Your_Project_Title.pdf,Custom,Learning from Failure: Natural Language Feedback for Reusing Failed GRPO Trajectories,Chenyue Li,Ethan Hsu,
Christine Li Eric Xia submission_416282476/CS224r_Final_Report_Final_Version.pdf,Default,From Structured Backtracking to Targeted Failure Correction for Robust Mathematical Reasoning,"Christine Li, Eric Xia",Riya Karumanchi,
Chung Fat Wong Anna Grebenchtchikova submission_416285765/Meaningless_Trivia__Meaningful_Compression__Near_Free_Token_Efficiency_in_RL_for_Reasoning.pdf,Custom,"Meaningless Trivia, Meaningful Compression: Near-Free Token Efficiency in RL for Reasoning","Chung Fat Wong, Anna Grebenchtchikova",Joonwon Kang,
Cole A Citrenbaum Noah Cowan Aymen Echarghaoui submission_416280760/Final_Project_CS224R_OT_based_Curriculum_Learning__Copy_-3.pdf,Default,Bridging the Gap: Optimal Transport-Guided Curriculum Learning,"Cole A Citrenbaum, Noah Cowan, Aymen Echarghaoui",Yash Kankariya,
Cynthia Wang Ravenor Carroll Davion submission_416288259/Intelligence_per_Joule_as_a_First_Class_Post_Training_Objective__5_.pdf,Custom,Intelligence per Joule as a First-Class Post-Training Objective,"Cynthia Wang, Ravenor Carroll Davion",Rahul Chand,
Daniel Li Yang submission_416100137/CS224R_Project_Report-5.pdf,Custom,Reinforcement Learning for Figgie: Learning Negotiation as a First-Class Skill,Daniel Li Yang,Ethan Hsu,
Daniel Marcelo Mottesi submission_416288153/City_Builder__2_.pdf,Custom,City Builder: Does Induced Demand Make Transit Network Design a Reinforcement Learning Problem?,Daniel Marcelo Mottesi,Joy He-Yueya,
Daniel Steven Schreck Sheng-Yong Niu Karishma Aggarwal submission_416269754/Project_Report.pdf,Default,Adaptive Competence-Boundary Curricula for Countdown with RLOO,"Daniel Steven Schreck, Sheng-Yong Niu, Karishma Aggarwal",Max Du,
Darren Chan Jayna Grace Huang Sophie Zhang submission_416260291/CS224R_Final_Report.pdf,Default,Adaptive Difficulty-Aware Curriculum Learning for RLOO,"Darren Chan, Jayna Grace Huang, Sophie Zhang",Anikait Singh,
Deepika Dandeboyina submission_416242735/Final_project_report.pdf,Default,Multimodal LLM Self-Play,Deepika Dandeboyina,Shengqu Cai,
Deniz Zeren Yilmaz Sameer Agrawal Siddharth M. Bhatia submission_416288255/CS224R_Report__3_.pdf,Custom,Controlling a Fusion Reactor with Reinforcement Learning,"Deniz Zeren Yilmaz, Sameer Agrawal, Siddharth M. Bhatia",Marcel Torne,
Devan Shaan Agrawal submission_416288077/_Final__CS_224R_Report.pdf,Custom,Reinforcement Learning for Geothermal Drilling Optimization,Devan Shaan Agrawal,Perry Dong,
Dhruv Arcot submission_416233949/CS224r_Final_Project.pdf,Custom,Dense Step-Level Rewards via Process Reward Models for Mathematical Reasoning,Dhruv Arcot,Joy He-Yueya,
Dhruv Manani Churan He submission_416281316/cs224r_final_report.pdf,Custom,Graphs and Meta Reinforcement Learning for Portfolio Management,"Dhruv Manani, Churan He",Joy He-Yueya,
Diego Sierra Brianna Xie submission_415464895/CS224R_Final_Project_Diego_Brianna.pdf,Default,"Using, Learning, and Removing Tools: A Study of Tool-Integrated Reasoning for Countdown","Diego Sierra, Brianna Xie",Max Du,
Diya Janvi Kejriwal Andrew Su Gurmeher Kaur submission_416287372/CS224R_Final_Report__1_.pdf,Custom,Dense Language Rewards For Reasoning,"Diya Janvi Kejriwal, Andrew Su, Gurmeher Kaur",Marcel Torne,
Dongyu Jia submission_416159521/cs224r_final_report_2025.pdf,Default,Process-Level Alignment and Value-Guided Stepwise Planning in Countdown Math Reasoning,Dongyu Jia,Ke Wang,
Donna Choi submission_416460376/CS224R_Project_Final.pdf,Default,Adaptive Difficulty Scheduling: A Competency-Gated Curriculum for Small-LLM Reasoning,Donna Choi,Ke Wang,
Donnie Brooks Raymond submission_416288102/CS224R_Final_Project.pdf,Default,IPO + RLOO Alignment Report,"Donnie Brooks Raymond, Matthew Darshan Torre",Anubha Mahajan,
Dylan Zhou Anuva Banwasi Jiaye Zou submission_416285166/Refine_and_Compose__Mahalanobis_Action_Barriers_over_Demo_free_Contrastive_RL_Primitives.pdf,Custom,Refine and Compose: Mahalanobis Action Barriers over Demo-free Contrastive RL Primitives,"Dylan Zhou, Anuva Banwasi, Jiaye Zou",Tyler Lum,
Edward Neo Lee Shatong Zhu Haoyue Xiao submission_416288448/CS_224R_Final_Project_Report__1_.pdf,Custom,Survival Instinct: One-Staged RL for Quadruped Parkour Self-Play,"Edward Neo Lee, Shatong Zhu, Haoyue Xiao",Tian Gao,
Ela Naz Sigin Anastasiya Masalava Eva Casto submission_416288591/CS224R_Final_Paper.pdf,Custom,Bandits for Cold-Start: Exploration vs. Exploitation in Recommendation,"Ela Naz Sigin, Anastasiya Masalava, Eva Casto",Anushree Aggarwal,
Elana N Chen Hayden Kwan William Charles Rose submission_416286846/CS224R_Final_Report__2_.pdf,Custom,Forced Grounding: Diagnosing and Repairing Language Neglect in Imitation-Learned Robot Policies via RL,"Elana N Chen, Hayden Kwan, William Charles Rose",Tyler Lum,
Eli Thomas Wandless submission_416209154/224r_report.pdf,Custom,Exploratory Coding with Poly-EPO,Eli Thomas Wandless,Ifdita Hasan Orney,
Elijah Song Ryan Minh-Tri Le submission_416283659/CS_224R_Final_Project_Report-2.pdf,Custom,Personalizing Slide Layouts: A Case Study in RL Reward and Context Bottlenecks,"Elijah Song, Ryan Minh-Tri Le",Anushree Aggarwal,
Elisabeth A Holm Juan Pablo Gonzalez Pacheco Alfred Yu submission_416282815/CS_224R_Final_Paper.pdf,Custom,Reinforcement Learning for Mental Health Interventions Using Unlabeled Smartphone Data,"Elisabeth A Holm, Juan Pablo Gonzalez Pacheco, Alfred Yu",Alex Nam,
Elvin Fu Cole Donald Van Hersett submission_416288553/cs224r_final_report_2025.pdf,Custom,Action-Token Pruning for Sample-Efficient RL Fine-Tuning of Robot Policies,"Elvin Fu, Cole Donald Van Hersett",Tyler Lum,
Emi Maria Mathew submission_416075553/CS224R_Paper__1_.pdf,Custom,Hierarchical RL for Cost Aware Protein Engineering Campaigns in Cloud Labs,Emi Maria Mathew,Rahul Chand,
Emma Marie Beharry Abel Philip John Elizabeth Michelle Gallagher submission_416269695/224R_Final_Report-2.pdf,Custom,GoodLiars: A Multi-Turn Extension of Reinforcement Learning-Based Belief Disruption,"Emma Marie Beharry, Abel Philip John, Elizabeth Michelle Gallagher",Alex Nam,
Erwin Giovanbattista Marcel R. Poussi submission_416175488/SINGER_report_citations_added.pdf,Custom,Enhancing SINGER: Onboard Visual Drone Navigation through Iterative Imitation Learning and Reinforcement Fine-Tuning,Erwin Giovanbattista Marcel R. Poussi,Rahul Chand,
Esmee Cowing Milly Wong Tesvara Suliani Jiang submission_416289332/cs224r_report__1_.pdf,Custom,System-Aware Reward Shaping for the Pythia RL Prefetcher,"Esmee Cowing, Milly Wong, Tesvara Suliani Jiang",Perry Dong,
Ethan Charles Morgan submission_416282579/CS224R_FinalProject__7_.pdf,Custom,When Does Privileged Self-Distillation Help GUI Grounding? A Teacher-Gap Analysis of Visual SDPO,Ethan Charles Morgan,Ethan Hsu,
Ethan Zhang Tatiana Zhang Jenny Wei submission_416287485/CS224R_Project_Writeup.pdf,Custom,CKR: A Novel Baselining Improvement for T2I-Model Reinforcement Learning Using Noisy Rewards,"Ethan Zhang, Tatiana Zhang, Jenny Wei",Tyler Lum,
Farzad Pourbabaee submission_416170334/main.pdf,Custom,Decentralized Q-Learning of the Social Optimum in Strategic Experimentation,Farzad Pourbabaee,Joy He-Yueya,
Febie Jane Lin Fabio Ibanez Chris Stanulet submission_416241402/CS224R___CARVE_Final_Report.pdf,Custom,CARVE: Concept Avoidance via Reward-shaped Visual Erasure,"Febie Jane Lin, Fabio Ibanez, Chris Stanulet",Rahul Chand,Honorable
Felipe Laufer Barbosa Mark Music Alex Jihun Kim submission_416181642/PiDrive_Paper.pdf,Custom,π-Drive: Reinforcement Post-Training Turns a Manipulation VLA into a Real-Time Driving Policy,"Felipe Laufer Barbosa, Mark Music, Alex Jihun Kim",Tian Gao,Honorable
Fengzhou Li submission_415833590/CS224R_final_report.pdf,Default,"Curriculum Learning for Countdown Reasoning in RL Fine-Tuning: Static Schedules Help, Adaptive Frontiers Forget",Fengzhou Li,Yash Kankariya,
Finn Staeblein submission_416286016/CS244r_final_report-2.pdf,Default,When Can a Model Write Its Own Curriculum? A Diagnostic Study of Joint Conjecturer/Prover RLOO for Countdown,"Finn Staeblein, Nicholas Simon Allen",Riya Karumanchi,
Gabrielle Marie Walrath Irene Ai Lin Ethan Tamer Farah submission_416285761/CS224R_Project_Proposal_Template__8_.pdf,Custom,Curriculum Strategies for Bimanual Dexterous Piano Playing in RoboPianist,"Gabrielle Marie Walrath, Irene Ai Lin, Ethan Tamer Farah",Megha Srivastava,
Garrett Alarcon submission_416154037/CS224_Final_Report_gaa.pdf,Default,Frontier-Weighted SEC: A Case Study in Curriculum Learning for RL Fine-Tuning of Language Models,Garrett Alarcon,Riya Karumanchi,
Gaurav Tyagi submission_416087944/CS224r_Final_Report.pdf,Custom,Topology-Aware Reinforcement Learning for Text-to-CAD Code Generation,Gaurav Tyagi,Ke Wang,
Hailemariam Teshome submission_416288554/report.pdf,Custom,RadOncReason: Reinforcement Learning with Verifiable Guideline Rewards for Clinical Reasoning in Radiation Oncology,Hailemariam Teshome,Jonathan Yang,
Han Shaun Lee submission_416288317/CS224R_Final_Report.pdf,Custom,Learned Forgetting: Task-Conditioned Visual Memory Selection via Reinforcement Learning,Han Shaun Lee,Marcel Torne,
Hao Xu submission_416131335/cs224r_final_report.pdf,Default,Replay-Augmented RLOO: Restoring Within-Group Reward Variance in Sparse-Reward Policy Gradients,Hao Xu,Shengqu Cai,
Haozhan Gao submission_416279196/CS224R_final_report.pdf,Custom,Seeking Disagreement: Online Credit Assignment with Delayed and Pseudo-Aggregated Rewards,Haozhan Gao,Perry Dong,
Harshvardhan Singh submission_416284215/main.pdf,Custom,Interoception: Teaching LLMs to Reason on a Wallclock Budget,Harshvardhan Singh,Joy He-Yueya,
Henry Bosch Shurui Liu submission_416282587/cs224r_proposal__1_.pdf,Custom,PipelineRL: Limits of Asynchronous Reinforcement Learning for Long-Horizon Trajectories,"Henry Bosch, Shurui Liu",Jonathan Yang,
Henry Jingsong Zhou Oleh Ivankiv submission_415708497/CS224R_Final_report.pdf,Default,Programmatic Reasoning for Countdown: Learning to Generate Executable Python-Style Verifications,"Henry Jingsong Zhou, Oleh Ivankiv",Anubha Mahajan,
Hlumelo Notshe submission_416288795/CS224R_Final_Report_Notshe.pdf,Custom,Critic-Targeted Exploration: Learned Per-Rollout Targeting of Entropy Bonuses in GRPO,Hlumelo Notshe,Joy He-Yueya,
Hoang D Nguyen Peter Martin Alisky Zhenghui Chen submission_416223910/CS_224R_Final_Report.pdf,Custom,RL for Adaptive Tutoring: When Should a Tutor Intervene?,"Hoang D Nguyen, Peter Martin Alisky, Zhenghui Chen",Anushree Aggarwal,
Howard Xiao Weiwei Wu submission_416281412/CS_224R_Final_Report.pdf,Default,RL Fine-Tuning for Countdown Reasoning with Test-Time Verification and Curriculum Learning,"Howard Xiao, Weiwei Wu",Abhijnya Bhat,
Ian Yue-Ran Chen submission_416149635/CS224R_DFP_Final_Report_-_Ian_Chen.pdf,Default,Bounded Proximity Rewards: Accelerating Post-Training Reinforcement Learning for Arithmetic Reasoning without Policy Divergence,Ian Yue-Ran Chen,Yash Kankariya,
Irawadee Thawornbut Rinnara Sangpisit submission_416288336/CS224R_Final_Report_Rinnara_Irawadee.pdf,Default,Enhancing RLOO with Dense Symbolic Rewards and Bandit-Driven Curricula,"Irawadee Thawornbut, Rinnara Sangpisit",Abhijnya Bhat,
Iris Zixiao Xu Jamin Jia-Ming Xie Eric Liang submission_416288445/CS_224R_Final_Report__BLIND__1_.pdf,Custom,BLIND: Bipedal Locomotion with Intermittent Navigation Data for Environmental Hazards,"Iris Zixiao Xu, Jamin Jia-Ming Xie, Eric Liang",Tian Gao,
Isaac Wooman Park Sam Lustgarten submission_416160689/Learning_to_Teach__Teaching_to_Learn_Final.pdf,Default,"Learning to Teach, Teaching to Learn","Isaac Wooman Park, Sam Lustgarten",Anikait Singh,
Isaiah Flores Mia Xiao Katherine Wang Xu submission_416165870/CS224R_Final_Report.pdf,Default,Tool-Integrated RLOO and Pass@K: Testing the Invisible Leash,"Isaiah Flores, Mia Xiao, Katherine Wang Xu",Anubha Mahajan,
Jack Frederick Lofwall Luca Thomas Wheeler submission_416282441/224R-Report.pdf,Custom,Reward Density and Process-Reward Hacking in a Code-Repair MDP: A Controlled Study of PPO Meta-Control over a Frozen Code LLM,"Jack Frederick Lofwall, Luca Thomas Wheeler",Yash Kankariya,
Jaden Chen Gia Grace Ancone submission_416230070/CS_224R_Final_report__3_.pdf,Custom,"Learning Structured Trust Policies from Uncertainty, Advisor Signals, and Agreement","Jaden Chen, Gia Grace Ancone",Ifdita Hasan Orney,
Jane Yang Will Nathaniel Hansen submission_416276770/224R_Final_Report.pdf,Default,Diversity-Aware RLOO for Pass@k Reasoning in Countdown,"Jane Yang, Will Nathaniel Hansen",Anubha Mahajan,
Jason Yan submission_416190006/cs224r_final_report_2025.pdf,Default,Progress-Aware Prompt Sampling for Verifier-Based RL Fine-Tuning,Jason Yan,Yash Kankariya,
Jehan Shah submission_416159879/CS224R_project_report.pdf,Custom,Multimodal RLPD for Industrial Robotic Cable Insertion,Jehan Shah,Rahul Chand,
Jerry Jiayu Li submission_415585255/cs224r_final_report.pdf,Default,Adaptive Curriculum Learning for RLOO on Countdown,Jerry Jiayu Li,Yash Kankariya,
Jerry Wang Ryan Wang submission_416268483/CS224R.pdf,Default,Reinforcement Learning for Self-Guided Context Compression in Mathematical Reasoning,"Jerry Wang, Ryan Wang",Ke Wang,
Jerry Yin submission_416287340/224R_Final_Project.pdf,Custom,Reinforcement Learning for Terminal-Area Air Traffic Control,Jerry Yin,Anushree Aggarwal,
Jett Crist Carruth Alex Tadken Shaffer submission_416252239/CS_224R_Final_Paper__3_.pdf,Custom,Off Policy or On Policy? Multi-Agent Reinforcement Learning for Drone Swarm Coordination,"Jett Crist Carruth, Alex Tadken Shaffer",Anushree Aggarwal,
Jevon Mao Yifan Geng Alexia Huang submission_416288379/CS224R_Report.pdf,Custom,Curiosity-Driven Memory-Augmented Reinforcement Learning for Adaptive Robot Tasks,"Jevon Mao, Yifan Geng, Alexia Huang",Marcel Torne,
Jiaming Shen Jiaxin Fang Jenny Jin submission_416281900/CS224R_final_report.pdf,Default,Joint Optimization of Task Difficulty and Diversity for Fine-Tuning LLMs under Sparse Rewards,"Jiaming Shen, Jiaxin Fang, Jenny Jin",Abhijnya Bhat,
Jiaxuan Sun Angel Zhang submission_415717543/Final_Report.pdf,Default,Scaling Test-Time Computation for Countdown Reasoning through Verifier-Guided Resampling,"Jiaxuan Sun, Angel Zhang",Ke Wang,
Jingshu Liu submission_416288258/cs224r_final_project__11_.pdf,Default,Test-Time Best-of-K Selection with Generative Verification for Countdown Reasoning,Jingshu Liu,Ke Wang,
John William Carlson Josh Joseph submission_416281809/Reinforcement_Learning_for_Compiled_CNOT_Efficient_Variational_Quantum_Eigensolver_Circuits__1_.pdf,Custom,Reinforcement Learning for Compiled-CNOT-Efficient VQE Circuits,"John William Carlson, Josh Joseph",Joonwon Kang,
Jonathan Andrew Lutch submission_416288603/CS224RFinalReport__1_.pdf,Custom,The Affect of Opponent Pool Size on the Policy Stability of Compute Constrained Self-play Tasks,Jonathan Andrew Lutch,Tian Gao,
Joseph Dehoney submission_416247106/jdehoney_224r_final_report.pdf,Custom,Pose Under Pressure: Robustness of Pose-Derived Dense Rewards in Demonstration-Guided Reinforcement Learning,Joseph Dehoney,Ethan Hsu,
Joseph Tey Nick Jiang submission_416142007/icml2018_style_2.pdf,Custom,Learning Interpretable Code Explanations of LLM Behavior,"Joseph Tey, Nick Jiang",Abhijnya Bhat,
Joshua A Slagle submission_416229403/cs224r_final_report_2025.pdf,Default,Zero Sum Game Framework for Group Advantage Simplification,Joshua A Slagle,Yash Kankariya,
Joshua Delgadillo Jui Khankari submission_416276148/CS_224R_Project_Report__2_.pdf,Default,Small Generative Verifiers for Inference-Time Scaling Across RL Training Frameworks,"Joshua Delgadillo, Jui Khankari",Abhijnya Bhat,
JP Paul McAnally submission_416260391/224R.pdf,Custom,PlayGrader: Coaching the Coaches with Deep RL,JP Paul McAnally,Jonathan Yang,
Julia T Isaac Tanush Talati submission_416286517/cs_224_final_report__1_.pdf,Custom,Deep Reinforcement Learning for User Welfare Optimization on Recommendation Systems with Competing Content Creators,"Julia T Isaac, Tanush Talati",Alex Nam,
Juntao Cheng Qi Wu Zhuoang Tao submission_416288270/CS224R_Final_Report.pdf,Default,Diversity-Preserving On-Policy Distillation and Test-Time Verification for Countdown Reasoning,"Juntao Cheng, Qi Wu, Zhuoang Tao",Riya Karumanchi,
Juntong Shi submission_416022738/CS224R_Teacher_Contrastive_OPD.pdf,Custom,Teacher-Contrastive On-Policy Distillation,Juntong Shi,Perry Dong,
Justin Yizhou Huang Adam Joseph Banks submission_416261454/CS_224R_Final_Report__6_.pdf,Custom,Reversing Emergent Misalignment Using Simple Self-Distillation,"Justin Yizhou Huang, Adam Joseph Banks",Rahul Chand,
Kai Wen submission_416185414/CS224R_Final_Report.pdf,Default,Learnable Curricula via Self-Play for Verifiable Reasoning Tasks,Kai Wen,Abhijnya Bhat,
